actorseq,actorname,actorengname,actorseq
1,마동석,Ma Dong-Seok,1
2,손석구,,2
3,최귀화,,3
4,박지환,,4
5,허동원,,5
6,하준,,6
7,정재광,,7
8,남문철,,8
9,박지영,,9
10,이주원,,10
11,음문석,,11
12,김찬형,,12
13,이규원,,13
14,전진오,,14
15,이다일,,15
16,김영성,,16
17,차우진,,17
18,박광재,,18
19,최재훈,,19
20,백승익,,20
21,우강민,,21
22,강덕중,,22
23,송요셉,,23
24,한우열,,24
25,서문호,,25
26,권혁범,,26
27,박은우,,27
28,이도은,,28
29,김이현,,29
30,허승,,30
31,이태규,,31
32,최광희,,32
33,권태호,,33
34,권지훈,,34
35,전재형,,35
36,김상욱,,36
37,전정일,,37
38,정수용,,38
39,정인기,,39
40,윤병희,,40
41,톰 크루즈,Tom Cruise,41
42,마일스 텔러,Miles Teller,42
43,제니퍼 코넬리,Jennifer Connelly,43
44,발 킬머,Val Kilmer,44
45,바쉬르 살라후딘,Bashir Salahuddin,45
46,존 햄,Jon Hamm,46
47,찰스 파넬,Charles Parnell,47
48,모니카 바바로,Monica Barbaro,48
49,루이스 풀먼,Lewis Pullman,49
50,매니 자신토,Manny Jacinto,50
51,왕중흔,Kara Wang,51
52,그렉 타잔 데이비스,Greg Tarzan Davis,52
53,제이크 피킹,Jake Picking,53
54,레이몬드 리,Raymond Lee,54
55,진 루이자 켈리,Jean Louisa Kelly,55
56,에드 해리스,Ed Harris,56
57,릴리아나 레이,Lyliana Wray,57
58,잭 슈마허,Jack Schumacher,58
59,샘 워싱턴,Sam Worthington,59
60,조 샐다나,Zoe Saldana,60
61,시고니 위버,Sigourney Weaver,61
62,스티븐 랭,Stephen Lang,62
63,케이트 윈슬렛,Kate Winslet,63
64,클리프 커티스,Cliff Curtis,64
65,조엘 무어,Joel Moore,65
66,C.C.H. 파운더,C.C.H. Pounder,66
67,에디 팔코,Edie Falco,67
68,브렌던 코웰,Brendan Cowell,68
69,저메인 클레멘트,Jemaine Clement,69
70,제이미 플래터스,Jamie Flatters,70
71,브리테인 돌턴,Britain Dalton,71
72,트리니티 조-리 블리스,Trinity Jo-Li Bliss,72
73,잭 챔피언,Jack Champion,73
74,베일리 베이스,Bailey Bass,74
75,필리프 겔조,Filip Geljo,75
76,듀언 에반스 주니어,Duane Evans Jr.,76
77,지오바니 리비시,Giovanni Ribisi,77
78,클로에 콜맨,Chloe Coleman,78
79,박해일,Park Hae-IL,79
80,변요한,,80
81,안성기,,81
82,손현주,,82
83,김성규,,83
84,김성균,,84
85,김향기,,85
86,택연,Taecyeon,86
87,공명,,87
89,조재윤,Jo Jae Yun,89
90,윤제문,,90
91,박훈,,91
92,박재민,,92
93,이서준,,93
94,김재영,,94
95,윤진영,,95
96,김강일,,96
97,이준혁,,97
98,김민재,,98
99,김구택,,99
100,손경원,,100
101,안성봉,,101
102,이운산,,102
103,김영웅,,103
104,공정환,,104
105,배현성,,105
106,김대명,,106
107,정예훈,,107
108,현봉식,,108
109,김한민,Kim Han-min,109
110,김현태,,110
111,김문종,,111
112,고한민,,112
113,현직,,113
114,김한솔,,114
115,박인국,,115
116,이상군,,116
117,함진성,,117
118,곽민호,,118
119,강보라,,119
120,김무섭,,120
121,최홍락,,121
122,김기호,,122
123,김명곤,,123
124,문숙,,124
125,현빈,,125
126,유해진,YOO HAI JIN,126
127,윤아,,127
128,다니엘 헤니,Daniel Henney,128
129,진선규,,129
130,장영남,,130
132,임성재,,132
133,윤상화,,133
134,박민하,,134
135,전국환,,135
136,전배수,,136
137,이해영,Lee Hae-yeong,137
138,서동원,,138
139,이승훈,,139
140,이제연,,140
141,박형수,,141
142,이민지,,142
143,박종환,,143
144,한아름별,,144
145,최동구,,145
146,김중희,,146
147,설찬미,,147
148,김원해,,148
149,조달환,,149
150,베네딕트 컴버배치,Benedict Cumberbatch,150
151,엘리자베스 올슨,Elizabeth Olsen,151
152,베네딕트 웡,Benedict Wong,152
153,소치틀 고메즈,Xochitl Gomez,153
154,치웨텔 에지오포,Chiwetel Ejiofor,154
155,레이첼 맥아담스,Rachel McAdams,155
156,마이클 스털버그,Michael Stuhlbarg,156
157,셰일라 아팀,Sheila Atim,157
158,에덴 나덴슨,Eden Nathenson,158
159,애덤 허길,Adam Hugill,159
160,아코 미첼,Ako Mitchell,160
161,이정재,Lee Jeong-Jae,161
162,정우성,Jung Woo-Sung,162
163,전혜진,Jeon Hye-jin,163
164,허성태,,164
165,고윤정,,165
166,김종수,,166
167,정만식,,167
168,임형국,,168
169,정경순,,169
170,정재성,,170
171,송영창,,171
172,강경헌,,172
174,정성모,Seong-mo Jeong,174
175,손성호,,175
176,폴 배틀,Paul Battle,176
177,김학선,,177
178,오만석,,178
179,박윤희,,179
