seriesseq,seriesename,seriesrelease,director,actor,seq
1,범죄도시,2017-10-03,강윤성,"마동석, 윤계상, 조재윤, 최귀화, 임형준, 진선규, 홍기준, 허동원, 하준",1
2,범죄도시3,2023-05-31,이상용,"마동석, 이준혁, 아오키 무네타카, 이범수, 김민재, 이지훈, 김도건, 고규필, 전석호",1
3,범죄도시4,,허명행,"마동석, 김무열, 이동휘, 박지환, 이범수, 김민재, 이지훈, 이주빈, 김도건",1
4,탑건,1987-12-19,토니 스콧,"톰 크루즈, 켈리 맥길리스, 발 킬머, 안소니 에드워즈, 톰 스커릿, 마이클 아이언사이드, 존 스톡웰, 배리 터브, 릭 로소비치",2
5,아바타,2009-12-17,제임스 카메론,"	샘 워싱턴, 조 샐다나, 시고니 위버, 스티븐 랭, 조엘 무어, 미셸 로드리게스, 지오바니 리비시, C.C.H. 파운더, 웨스 스투디",3
6,아바타 3,,제임스 카메론,"	제임스 카메론, 존 랜도, 제임스 카메론",3
7,명량,2014-07-30,김한민,"	최민식, 류승룡, 조진웅, 김명곤, 진구, 이정현, 권율, 오타니 료헤이, 이승준",4
8,노량: 죽음의 바다,,김한민,"김윤석, 백윤식, 정재영, 허준호, 김주경, 이대희",4
9,공조,2017-01-18,김성훈,"현빈, 유해진, 김주혁, 장영남, 이동휘, 윤아, 김재철, 공정환, 이해영",5
10,닥터 스트레인지,2016-10-26,스콧 데릭슨,"	베네딕트 컴버배치, 레이첼 맥아담스, 틸다 스윈튼, 매즈 미켈슨, 치웨텔 에지오포, 베네딕트 웡, 마이클 스털버그, 벤자민 브랫, 스캇 애드킨스",6
11,쥬라기 공원,1993-07-17,"	스티븐 스필버그","	샘 닐, 로라 던, 제프 골드블럼, 사무엘 L. 잭슨, 조셉 마젤로, 리차드 애튼버러, 밥 펙, 마틴 페레로, 아리아나 리차즈",9
12,쥬라기 공원 2 : 잃어버린 세계,1997-06-14,스티븐 스필버그,"	제프 골드블럼, 줄리안 무어, 피트 포슬스웨이트, 리차드 애튼버러, 빈스 본, 알리스 하워드, 바네사 리 체스터, 피터 스토메어, 하비 제이슨",9
13,쥬라기 공원 3,2001-07-20,"	조 존스톤","	샘 닐, 윌리엄 H. 머시, 티아 레오니, 알렉산드로 니볼라, 트레버 모간, 마이클 제터, 존 딜, 브루스 A. 영, 로라 던",9
14,쥬라기 월드,2015-06-11,콜린 트레보로우,"크리스 프랫, 브라이스 달라스 하워드, 타이 심킨스, 닉 로빈슨, 비디 웡, 빈센트 도노프리오, 제이크 존슨, 오마르 사이, 주디 그리어",9
15,쥬라기 월드: 폴른 킹덤,2018-06-06,후안 안토니오 바요나,"크리스 프랫, 브라이스 달라스 하워드, 라프 스폴, 저스티스 스미스, 다니엘라 피네다, 제임스 크롬웰, 토비 존스, 테드 레빈, 제프 골드블럼",9
16,마녀,2018-06-27,박훈정,"김다미, 조민수, 박희순, 최우식, 고민시, 최정우, 오미희, 김병옥, 정다은",10
17,토르: 천둥의 신,2011-04-28,"	케네스 브래너","나탈리 포트만, 안소니 홉킨스, 크리스 헴스워스, 톰 히들스턴, 이드리스 엘바, 캣 데닝스, 르네 루소, 아사노 타다노부, 스텔란 스카스가드",11
18,토르 : 다크 월드,2013-10-30,알랜 테일러,"	나탈리 포트만, 톰 히들스턴, 안소니 홉킨스, 크리스토퍼 에클리스톤, 크리스 헴스워스, 제이미 알렉산더, 재커리 리바이, 레이 스티븐슨, 아사노 타다노부",11
