movieottseq,ottseq,seq
1,3,2
2,3,3
3,1,5
4,4,5
5,3,5
6,1,7
7,2,7
8,3,7
9,4,7
10,3,8
11,1,9
12,3,9
13,3,10
14,1,12
15,4,15
16,2,16
17,3,16
18,1,17
19,2,17
20,3,17
21,4,17
22,1,18
23,2,18
24,3,18
25,4,18
26,4,19
27,1,19
28,3,19
29,1,20
30,1,21
31,2,21
32,3,21
33,4,21
34,3,22
35,1,23
36,2,23
37,3,23
38,4,23
39,1,25
40,3,25
41,3,26
42,3,29
43,2,30
44,3,30
45,1,31
46,2,31
47,3,31
48,4,31
49,1,32
50,3,32
51,1,33
52,2,33
53,3,33
54,4,33
55,3,34
56,1,35
57,2,35
58,3,35
59,4,35
60,1,36
61,2,36
62,3,36
63,4,36
64,4,37
65,1,38
66,2,38
67,3,38
68,4,38
69,1,40
70,2,40
71,3,40
72,4,40
73,1,41
74,1,42
75,3,42
76,2,43
77,4,43
78,3,44
79,1,46
80,2,46
81,3,46
82,2,47
83,3,47
84,4,47
85,3,48
86,1,49
87,3,50
